PRISM
=====

Version: 4.4.beta
Date: Thu Jan 25 16:30:15 IRST 2018
Hostname: astek.hpc.vru.ac.ir
Memory limits: cudd=1g, java(heap)=65.1g
Command line: prism ../examples/nonsparse/dns4.nm ../examples/nonsparse/qq.pctl -s -improvedmodpoliter -javamaxmem 75000m -maxiters 500000

Parsing model file "../examples/nonsparse/dns4.nm"...

Parsing properties file "../examples/nonsparse/qq.pctl"...

1 property:
(1) Pmax=? [ "PP" U "QQ" ]

Type:        MDP
Modules:     m1 m2 m3 m4 m5 
Variables:   s1 s2 s3 s4 s5 

---------------------------------------------------------------------

Model checking: Pmax=? [ "PP" U "QQ" ]

Building model...

Computing reachable states...

Reachability (BFS): 3 iterations in 0.00 seconds (average 0.000000, setup 0.00)

Time for model construction: 0.201 seconds.

Type:        MDP
States:      9216 (1 initial)
Transitions: 64159244
Choices:     20480

Transition matrix: 371675 nodes (58181 terminal), 64159244 minterms, vars: 14r/14c/3nd

Prob0A: 3 iterations in 0.00 seconds (average 0.000667, setup 0.00)

Prob1E: 8 iterations in 0.00 seconds (average 0.000250, setup 0.00)

yes = 8, no = 8, maybe = 9200

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix (FOR POLICY ITERASION)... [n=9216, nc=20440, nnz=64082076, k=4] [733.5 MB]
Creating vector for yes...[72.0 KB]
Allocating iteration vectors... [2 x 72.0 KB]
TOTAL: [733.7 MB]

Starting iterations...
Iteration 23548: max relative diff=0.000005, 583.59 sec so far
Iteration 23954: max relative diff=0.000004, 593.60 sec so far
Iteration 24157: max relative diff=0.000004, 598.67 sec so far
Iteration 24360: max relative diff=0.000004, 603.79 sec so far
Iteration 24563: max relative diff=0.000004, 608.86 sec so far
Iteration 24969: max relative diff=0.000004, 618.94 sec so far
Iteration 25172: max relative diff=0.000004, 623.94 sec so far
Iteration 25578: max relative diff=0.000003, 633.91 sec so far
Iteration 25781: max relative diff=0.000003, 638.92 sec so far
Iteration 25984: max relative diff=0.000003, 643.96 sec so far
Iteration 26187: max relative diff=0.000003, 648.96 sec so far
Iteration 26390: max relative diff=0.000004, 653.99 sec so far
Iteration 26593: max relative diff=0.000003, 659.03 sec so far
Iteration 26796: max relative diff=0.000003, 664.15 sec so far
Iteration 26999: max relative diff=0.000003, 669.20 sec so far
Iteration 27405: max relative diff=0.000003, 679.16 sec so far
Iteration 27811: max relative diff=0.000002, 689.11 sec so far
Iteration 28217: max relative diff=0.000002, 699.07 sec so far
Iteration 28420: max relative diff=0.000002, 704.09 sec so far
Iteration 28623: max relative diff=0.000002, 709.12 sec so far
Iteration 28826: max relative diff=0.000002, 714.17 sec so far
Iteration 29232: max relative diff=0.000002, 724.20 sec so far
Iteration 29435: max relative diff=0.000002, 729.27 sec so far
Iteration 29841: max relative diff=0.000002, 739.26 sec so far
Iteration 30247: max relative diff=0.000002, 749.24 sec so far
Iteration 30653: max relative diff=0.000001, 759.17 sec so far
Iteration 30856: max relative diff=0.000001, 764.23 sec so far
Iteration 31059: max relative diff=0.000001, 769.29 sec so far
Iteration 31262: max relative diff=0.000001, 774.35 sec so far
Iteration 31668: max relative diff=0.000001, 784.37 sec so far
Iteration 31871: max relative diff=0.000001, 789.42 sec so far
Iteration 32277: max relative diff=0.000001, 799.38 sec so far
Iteration 32683: max relative diff=0.000001, 809.34 sec so far
Iteration 33089: max relative diff=0.000001, 819.30 sec so far

Iterative method: 33089 iterations in 819.30 seconds (average 0.024760, setup 3.55)


Number of scallar multiplications: 652730M 

Value in the initial state: 0.4305170373328932

Time for model checking: 822.778 seconds.

Result: 0.4305170373328932 (value in the initial state)

