PRISM
=====

Version: 4.4.dev
Date: Sat Jun 16 21:46:54 IRDT 2018
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=2.1g
Command line: prism dns28.nm dns.pctl -s -gs -maxiters 90050 -epsilon 1e-6 -javamaxmem 2400m

Parsing model file "dns28.nm"...

Parsing properties file "dns.pctl"...

1 property:
(1) Pmax=? [ "pp" U "qq" ]

Type:        MDP
Modules:     m1 m2 m3 
Variables:   s1 s2 s3 

---------------------------------------------------------------------

Model checking: Pmax=? [ "pp" U "qq" ]

Building model...

Computing reachable states...

Reachability (BFS): 2 iterations in 0.00 seconds (average 0.000000, setup 0.00)

Time for model construction: 19.343 seconds.

Type:        MDP
States:      7200 (1 initial)
Transitions: 256107756
Choices:     43200

Transition matrix: 17628445 nodes (602126 terminal), 256107756 minterms, vars: 15r/15c/6nd

Prob0A: 2 iterations in 0.01 seconds (average 0.002500, setup 0.00)

Prob1E: 4 iterations in 0.00 seconds (average 0.000500, setup 0.00)

yes = 10, no = 15, maybe = 7175

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix(FOR GS)... [n=7200, nc=43050, nnz=255227773, k=6] [2.9 GB]
Creating vector for yes...[56.2 KB]
Allocating iteration vectors... [2 x 56.2 KB]
TOTAL: [2.9 GB]

Starting iterations...
Iteration 1092: max relative diff=0.000005, 465.52 sec so far
Iteration 1104: max relative diff=0.000004, 470.63 sec so far
Iteration 1116: max relative diff=0.000004, 475.74 sec so far
Iteration 1128: max relative diff=0.000004, 480.86 sec so far
Iteration 1140: max relative diff=0.000004, 485.98 sec so far
Iteration 1152: max relative diff=0.000003, 491.09 sec so far
Iteration 1164: max relative diff=0.000003, 496.21 sec so far
Iteration 1176: max relative diff=0.000003, 501.33 sec so far
Iteration 1188: max relative diff=0.000003, 506.45 sec so far
Iteration 1200: max relative diff=0.000003, 511.55 sec so far
Iteration 1212: max relative diff=0.000002, 516.67 sec so far
Iteration 1224: max relative diff=0.000002, 521.78 sec so far
Iteration 1236: max relative diff=0.000002, 526.89 sec so far
Iteration 1248: max relative diff=0.000002, 532.01 sec so far
Iteration 1260: max relative diff=0.000002, 537.13 sec so far
Iteration 1272: max relative diff=0.000002, 542.25 sec so far
Iteration 1284: max relative diff=0.000002, 547.36 sec so far
Iteration 1296: max relative diff=0.000002, 552.47 sec so far
Iteration 1308: max relative diff=0.000001, 557.58 sec so far
Iteration 1320: max relative diff=0.000001, 562.70 sec so far
Iteration 1332: max relative diff=0.000001, 567.81 sec so far
Iteration 1344: max relative diff=0.000001, 572.93 sec so far
Iteration 1356: max relative diff=0.000001, 578.04 sec so far
Iteration 1368: max relative diff=0.000001, 583.15 sec so far

Iterative method: 1379 iterations in 587.84 seconds (average 0.426279, setup 23.60)

Value in the initial state: 0.6678666413095261

Time for model checking: 612.602 seconds.

Result: 0.6678666413095261 (value in the initial state)

