PRISM
=====

Version: 4.4.dev
Date: Tue Jun 19 18:03:09 IRDT 2018
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=2.1g
Command line: prism dns192.nm dns.pctl -s -gs -maxiters 90050 -epsilon 1e-6 -javamaxmem 2400m

Parsing model file "dns192.nm"...

Parsing properties file "dns.pctl"...

1 property:
(1) Pmax=? [ "pp" U "qq" ]

Type:        MDP
Modules:     m1 m2 m3 
Variables:   s1 s2 s3 

---------------------------------------------------------------------

Model checking: Pmax=? [ "pp" U "qq" ]

Building model...

Computing reachable states...

Reachability (BFS): 4 iterations in 0.01 seconds (average 0.002250, setup 0.00)

Time for model construction: 17.097 seconds.

Type:        MDP
States:      11200 (1 initial)
Transitions: 20779457
Choices:     56000

Transition matrix: 18166291 nodes (667768 terminal), 20779457 minterms, vars: 15r/15c/5nd

Prob0A: 3 iterations in 0.01 seconds (average 0.003000, setup 0.00)

Prob1E: 23 iterations in 0.05 seconds (average 0.002261, setup 0.00)

yes = 10, no = 36, maybe = 11154

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix(FOR GS)... [n=11200, nc=55770, nnz=20692855, k=5] [237.1 MB]
Creating vector for yes...[87.5 KB]
Allocating iteration vectors... [2 x 87.5 KB]
TOTAL: [237.3 MB]

Starting iterations...
Iteration 12408: max relative diff=0.000002, 441.72 sec so far
Iteration 12549: max relative diff=0.000002, 446.73 sec so far
Iteration 12690: max relative diff=0.000002, 451.74 sec so far
Iteration 12831: max relative diff=0.000002, 456.76 sec so far
Iteration 12972: max relative diff=0.000001, 461.77 sec so far
Iteration 13113: max relative diff=0.000001, 466.78 sec so far
Iteration 13254: max relative diff=0.000001, 471.79 sec so far
Iteration 13395: max relative diff=0.000001, 476.81 sec so far
Iteration 13536: max relative diff=0.000001, 481.82 sec so far
Iteration 13677: max relative diff=0.000001, 486.83 sec so far
Iteration 13818: max relative diff=0.000001, 491.85 sec so far
Iteration 13959: max relative diff=0.000001, 496.87 sec so far
Iteration 14100: max relative diff=0.000001, 501.88 sec so far
Iteration 14241: max relative diff=0.000001, 506.89 sec so far
Iteration 14382: max relative diff=0.000001, 511.90 sec so far
Iteration 14523: max relative diff=0.000001, 516.92 sec so far
Iteration 14664: max relative diff=0.000001, 521.93 sec so far
Iteration 14805: max relative diff=0.000001, 526.93 sec so far
Iteration 14946: max relative diff=0.000001, 531.95 sec so far
Iteration 15087: max relative diff=0.000001, 536.97 sec so far
Iteration 15228: max relative diff=0.000001, 541.98 sec so far
Iteration 15369: max relative diff=0.000001, 546.99 sec so far
