PRISM
=====

Version: 4.4.dev
Date: Sun Jun 17 21:02:40 IRDT 2018
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=2.1g
Command line: prism dns78.nm dns.pctl -s -gs -maxiters 90050 -epsilon 1e-6 -javamaxmem 2400m

Parsing model file "dns78.nm"...

Parsing properties file "dns.pctl"...

1 property:
(1) Pmax=? [ "pp" U "qq" ]

Type:        MDP
Modules:     m1 m2 m3 
Variables:   s1 s2 s3 

---------------------------------------------------------------------

Model checking: Pmax=? [ "pp" U "qq" ]

Building model...

Computing reachable states...

Reachability (BFS): 2 iterations in 0.01 seconds (average 0.002500, setup 0.00)

Time for model construction: 19.857 seconds.

Type:        MDP
States:      7200 (1 initial)
Transitions: 186088852
Choices:     43200

Transition matrix: 18120310 nodes (430126 terminal), 186088852 minterms, vars: 15r/15c/6nd

Prob0A: 2 iterations in 0.01 seconds (average 0.003000, setup 0.00)

Prob1E: 4 iterations in 0.00 seconds (average 0.000500, setup 0.00)

yes = 10, no = 10, maybe = 7180

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix(FOR GS)... [n=7200, nc=43080, nnz=185579651, k=6] [2.1 GB]
Creating vector for yes...[56.2 KB]
Allocating iteration vectors... [2 x 56.2 KB]
TOTAL: [2.1 GB]

Starting iterations...
Iteration 1522: max relative diff=0.000005, 471.04 sec so far
Iteration 1539: max relative diff=0.000005, 476.35 sec so far
Iteration 1556: max relative diff=0.000004, 481.60 sec so far
Iteration 1573: max relative diff=0.000004, 486.85 sec so far
Iteration 1590: max relative diff=0.000004, 492.10 sec so far
Iteration 1607: max relative diff=0.000004, 497.36 sec so far
Iteration 1624: max relative diff=0.000003, 502.61 sec so far
Iteration 1641: max relative diff=0.000003, 507.87 sec so far
Iteration 1658: max relative diff=0.000003, 513.12 sec so far
Iteration 1675: max relative diff=0.000003, 518.37 sec so far
Iteration 1692: max relative diff=0.000003, 523.62 sec so far
Iteration 1709: max relative diff=0.000003, 528.88 sec so far
Iteration 1726: max relative diff=0.000002, 534.13 sec so far
Iteration 1743: max relative diff=0.000002, 539.38 sec so far
Iteration 1760: max relative diff=0.000002, 544.63 sec so far
Iteration 1777: max relative diff=0.000002, 549.88 sec so far
Iteration 1794: max relative diff=0.000002, 555.13 sec so far
Iteration 1811: max relative diff=0.000002, 560.38 sec so far
Iteration 1828: max relative diff=0.000002, 565.63 sec so far
Iteration 1845: max relative diff=0.000002, 570.88 sec so far
Iteration 1862: max relative diff=0.000002, 576.13 sec so far
Iteration 1879: max relative diff=0.000001, 581.39 sec so far
Iteration 1896: max relative diff=0.000001, 586.64 sec so far
Iteration 1913: max relative diff=0.000001, 591.89 sec so far
Iteration 1930: max relative diff=0.000001, 597.14 sec so far
Iteration 1947: max relative diff=0.000001, 602.39 sec so far
Iteration 1964: max relative diff=0.000001, 607.65 sec so far
Iteration 1981: max relative diff=0.000001, 612.90 sec so far

Iterative method: 1989 iterations in 615.38 seconds (average 0.309390, setup 19.54)

Value in the initial state: 0.7055315379717372

Time for model checking: 635.639 seconds.

Result: 0.7055315379717372 (value in the initial state)

