PRISM
=====

Version: 4.4.beta
Date: Mon Jan 22 18:07:00 IRST 2018
Hostname: astek.hpc.vru.ac.ir
Memory limits: cudd=1g, java(heap)=65.1g
Command line: prism ../examples/nonsparse/dns4.nm ../examples/nonsparse/qq.pctl -s -improvedmodpoliter2 -javamaxmem 75000m -maxiters 500000

Parsing model file "../examples/nonsparse/dns4.nm"...

Parsing properties file "../examples/nonsparse/qq.pctl"...

1 property:
(1) Pmax=? [ "PP" U "QQ" ]

Type:        MDP
Modules:     m1 m2 m3 m4 m5 
Variables:   s1 s2 s3 s4 s5 

---------------------------------------------------------------------

Model checking: Pmax=? [ "PP" U "QQ" ]

Building model...

Computing reachable states...

Reachability (BFS): 3 iterations in 0.00 seconds (average 0.000333, setup 0.00)

Time for model construction: 0.219 seconds.

Type:        MDP
States:      9216 (1 initial)
Transitions: 64159244
Choices:     20480

Transition matrix: 371675 nodes (58181 terminal), 64159244 minterms, vars: 14r/14c/3nd

Prob0A: 3 iterations in 0.00 seconds (average 0.000333, setup 0.00)

Prob1E: 8 iterations in 0.00 seconds (average 0.000250, setup 0.00)

yes = 8, no = 8, maybe = 9200

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix (FOR POLICY ITERASION)... [n=9216, nc=20440, nnz=64082076, k=4] [733.5 MB]
Creating vector for yes...[72.0 KB]
Allocating iteration vectors... [2 x 72.0 KB]
TOTAL: [733.7 MB]

Starting iterations...
Iteration 34744: max relative diff=0.000004, 449.83 sec so far
Iteration 35148: max relative diff=0.000003, 455.03 sec so far
Iteration 35552: max relative diff=0.000003, 460.21 sec so far
Iteration 35956: max relative diff=0.000003, 465.42 sec so far
Iteration 36360: max relative diff=0.000003, 470.62 sec so far
Iteration 36764: max relative diff=0.000003, 475.82 sec so far
Iteration 37168: max relative diff=0.000003, 481.03 sec so far
Iteration 37572: max relative diff=0.000002, 486.23 sec so far
Iteration 37976: max relative diff=0.000002, 491.42 sec so far
Iteration 38380: max relative diff=0.000002, 496.62 sec so far
Iteration 38784: max relative diff=0.000002, 501.82 sec so far
Iteration 39188: max relative diff=0.000002, 507.03 sec so far
Iteration 39592: max relative diff=0.000002, 512.23 sec so far
Iteration 39996: max relative diff=0.000002, 517.44 sec so far
Iteration 40400: max relative diff=0.000002, 522.62 sec so far
Iteration 40804: max relative diff=0.000002, 527.82 sec so far
Iteration 41208: max relative diff=0.000002, 533.02 sec so far
Iteration 41612: max relative diff=0.000001, 538.23 sec so far
Iteration 42016: max relative diff=0.000001, 543.42 sec so far
Iteration 42420: max relative diff=0.000001, 548.62 sec so far
Iteration 42824: max relative diff=0.000001, 553.81 sec so far
Iteration 43228: max relative diff=0.000001, 559.01 sec so far
Iteration 43632: max relative diff=0.000001, 564.21 sec so far
Iteration 44036: max relative diff=0.000001, 569.41 sec so far
Iteration 44440: max relative diff=0.000001, 574.61 sec so far

Iterative method: 44743 iterations in 578.51 seconds (average 0.012930, setup 3.69)


Number of scallar multiplications: 374492M 

Value in the initial state: 0.430889368809605

Time for model checking: 582.434 seconds.

Result: 0.430889368809605 (value in the initial state)

